Product,Feature,Status,Size,Impact,Origin,Notes
Shoppable Video,Video embed widget — inline carousel on homepage / PDP / collection pages,Backlog,L,Core,Discussed,Embedded on any Shopify page; no redirect
Shoppable Video,Video overlay UI — views / likes / shares / Add to Cart / Buy Now / Negotiate,Backlog,L,Conversion,Discussed,All actions surface on top of the video without leaving it
Shoppable Video,In-video checkout — uses merchant's Shopify cart; no page leave,Backlog,L,Conversion,Discussed,Customer completes purchase inside the video player
Shoppable Video,Negotiate from video — opens Botiga chat overlay; same engine as today,Backlog,M,Conversion,Discussed,Tapping Negotiate surfaces the existing negotiation widget as an overlay
Shoppable Video,Instagram import — merchant enters @handle; pulls recent videos,Backlog,M,Merchant UX,Discussed,Imports from Instagram via handle; same flow as Whatmore
Shoppable Video,TikTok import — merchant enters @handle; pulls recent videos,Backlog,M,Merchant UX,Discussed,Imports from TikTok via handle
Shoppable Video,Phone / direct upload — upload MP4 from device,Backlog,S,Merchant UX,Discussed,Manual upload fallback for non-social content
Shoppable Video,Auto-sync — scheduled re-pull from Instagram/TikTok; new posts appear automatically,Backlog,M,Merchant UX,Discussed,Keeps video feed fresh without manual re-import
Shoppable Video,AI product tagging — vision model analyses video; Shopify products auto-suggested,Backlog,L,DX,Discussed,Reduces manual tagging effort; merchant confirms suggestions
Shoppable Video,Manual product tagging — search by title/SKU and tag to video,Backlog,M,Merchant UX,Discussed,Fallback when AI tag is wrong or missing
Shoppable Video,Video carousel widget types — floating / carousel / story-like,Backlog,M,UX,Discussed,Merchant picks layout style per placement
Shoppable Video,Video analytics — views / clicks / add-to-cart / negotiate / checkout rate per video,Backlog,M,Analytics,Suggested,Per-video funnel; understand which content converts
Shoppable Video,A/B testing for video placements,Later,M,Optimization,Suggested,Test carousel vs. floating widget; compare conversion
Shoppable Video,Meta retargeting integration — fire pixel events from video interactions,Later,M,Marketing,Suggested,Retarget viewers who watched but didn't buy
Shopify Widget,Core widget embed — bubble + button modes,Shipped,M,Core,Discussed,Injects into any Shopify theme via script tag
Shopify Widget,Proactive chat open (dwell-time trigger),Shipped,S,Conversion,Discussed,Opens after N seconds of page idle
Shopify Widget,Immediate open mode,Shipped,S,Conversion,Discussed,User reported it wasn't firing — fixed missing else branch
Shopify Widget,On-click trigger mode,Shipped,S,UX,Discussed,Part of show_trigger setting user was configuring
Shopify Widget,Cart bundle negotiation,Shipped,M,Conversion,Discussed,User worked with cart page context throughout
Shopify Widget,Accept / counter chips after each bot offer,Shipped,S,Conversion,Discussed,User explicitly asked: "accept the price after each bid from the bot to close faster"
Shopify Widget,Email gate — blur-reveal private price,Shipped,S,Lead capture,Discussed,"User designed this: blurred price, email to reveal, 🔒 private price copy"
Shopify Widget,Shopify auto-email from signed-in account,Shipped,S,Lead capture,Discussed,User asked: "if they already sign in their Shopify account are we capturing the email?"
Shopify Widget,WhatsApp / phone capture option in gate,Next,S,Lead capture,Discussed,User mentioned wanting phone/WhatsApp as second capture option
Shopify Widget,Gradient color for chat icon / button,Next,S,Merchant UX,Discussed,User asked: "is there a way to give gradient color for the chat icon or the button"
Shopify Widget,Product-aware bot messages — Phase 1,Next,M,Conversion,Discussed,User asked: "how do we make it more about the product" after seeing generic bot message
